ts_utc,close_time,label,tf,event,direction,price,box_top,box_bottom,box_id,confluence
2026-07-22T17:10:01+00:00,1784736000000,Microsoft,8h,long_created,long,389.97,400.43,395.95,L1784707200000,
2026-07-22T18:20:39+00:00,1784743199999,SUI,1h,short_created,short,0.7703,0.7603,0.7564,S1784725199999,
2026-07-22T18:20:40+00:00,1784743199999,TRX,1h,long_created,long,0.3288,0.3287,0.3282,L1784739599999,
2026-07-22T18:20:41+00:00,1784743199999,TRX,1h,long_entry,long,0.3288,0.3287,0.3282,L1784739599999,
2026-07-22T18:20:42+00:00,1784743200000,Silber,1h,short_created,short,60.05,60.37,59.98,S1784739600000,
2026-07-22T18:20:43+00:00,1784743200000,Silber,1h,short_entry,short,60.05,60.37,59.98,S1784739600000,
2026-07-22T18:20:44+00:00,1784743200000,HYPE,1h,short_created,short,59.004,58.819,58.011,S1784736000000,
2026-07-22T19:49:09+00:00,1784746800000,Apple,1h,long_created,long,324.36,327.59,326.64,L1784721600000,
2026-07-22T19:49:10+00:00,1784746800000,Gold,1h,short_created,short,4139.66,4150.86,4141.81,S1784743200000,
2026-07-22T19:49:10+00:00,1784746800000,Gold,1h,short_entry,short,4139.66,4150.86,4141.81,S1784743200000,
2026-07-22T20:48:32+00:00,1784750399999,ADA,4h,short_created,short,0.1746,0.1744,0.1704,S1784707199999,
2026-07-22T20:48:33+00:00,1784750399999,ADA,1h,short_created,short,0.1746,0.1784,0.1755,S1784746799999,
2026-07-22T20:48:34+00:00,1784750399999,ADA,1h,short_entry,short,0.1746,0.1784,0.1755,S1784746799999,
2026-07-22T20:48:36+00:00,1784750399999,SUI,4h,short_created,short,0.7662,0.7676,0.7527,S1784707199999,
